"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
eah_check_name2,eah_intake_2_ab0a,,text,"Data Check 2

Meal intake values checked by:",,,,,,,"[eah_errors]='1' AND [eah_errors_cor]='1' AND [eah_error_notes]<>''",y,,,,,
eah_check_date2,eah_intake_2_ab0a,,text,Date:,,,date_mdy,,,,[eah_check_name2]<>'',y,,,,,
eah_errors2,eah_intake_2_ab0a,,yesno,"Were there EAH intake errors for [eah_visit:checked] Child Qualtrics Database?",,,,,,,"[eah_check_name2]<>'' AND [eah_errors]='1'",y,,,,,
eah_errors_cor2,eah_intake_2_ab0a,,yesno,"EAH intake errors were corrected in the [eah_visit:checked] Child Qualtrics Database",,,,,,,[eah_errors2]='1',y,,,,,
eah_error_notes2,eah_intake_2_ab0a,,notes,"EAH intake errors. Please list the intake values that were changed/updated.

**Once done, change status to ""incomplete"" so others know that these data need to be checked again.**",,,,,,,[eah_errors2]='1',y,,,,,
eah_unfinished_msg2,eah_intake_2_ab0a,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([eah_errors2]='1' AND [eah_errors_cor2]='0') OR ([eah_errors2]='1' AND [eah_error_notes2]='')",,,,,,
eah_check_name3,eah_intake_2_ab0a,,text,"Data Check 3

Meal intake values checked by:",,,,,,,"[eah_errors2]='1' AND [eah_errors_cor2]='1' AND [eah_error_notes2]<>''",y,,,,,
eah_check_date3,eah_intake_2_ab0a,,text,Date:,,,date_mdy,,,,[eah_check_name3]<>'',y,,,,,
eah_errors3,eah_intake_2_ab0a,,yesno,"Were there EAH intake errors for [eah_visit:checked] Child Qualtrics Database?",,,,,,,"[eah_check_name3]<>'' AND [eah_errors2]='1'",y,,,,,
eah_errors_cor3,eah_intake_2_ab0a,,yesno,"EAH intake errors were corrected in the [eah_visit:checked] Child Qualtrics Database",,,,,,,[eah_errors3]='1',y,,,,,
eah_error_notes3,eah_intake_2_ab0a,,notes,"EAH intake errors. Please list the intake values that were changed/updated.

**Once done, change status to ""incomplete"" so others know that these data need to be checked again.**",,,,,,,[eah_errors3]='1',y,,,,,
eah_unfinished_msg3,eah_intake_2_ab0a,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([eah_errors3]='1' AND [eah_errors_cor3]='0') OR ([eah_errors3]='1' AND [eah_error_notes3]='')",,,,,,
eah_check_name4,eah_intake_2_ab0a,,text,"Data Check 4

Meal intake values checked by:",,,,,,,"[eah_errors3]='1' AND [eah_errors_cor3]='1' AND [eah_error_notes3]<>''",y,,,,,
eah_check_date4,eah_intake_2_ab0a,,text,Date:,,,date_mdy,,,,[eah_check_name4]<>'',y,,,,,
eah_errors4,eah_intake_2_ab0a,,yesno,"Were there EAH intake errors for [eah_visit:checked] Child Qualtrics Database?",,,,,,,"[eah_check_name4]<>'' AND [eah_errors3]='1'",y,,,,,
eah_errors_cor4,eah_intake_2_ab0a,,yesno,"EAH intake errors were corrected in the [eah_visit:checked] Child Qualtrics Database",,,,,,,[eah_errors4]='1',y,,,,,
eah_error_notes4,eah_intake_2_ab0a,,notes,"EAH intake errors. Please list the intake values that were changed/updated.
",,,,,,,[eah_errors4]='1',y,,,,,
eah_unfinished_msg4,eah_intake_2_ab0a,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([eah_errors4]='1' AND [eah_errors_cor4]='0') OR ([eah_errors4]='1' AND [eah_error_notes4]='')",,,,,,
eah_errors_email,eah_intake_2_ab0a,,radio,"Email the Lead Data RA or graduate student for final checks since agreement has not yet been reached.

Include the EAH visit: [eah_visit:checked]

**Once email has been sent, mark form status as ""unverified"" so Lead RA and/or graduate student knows to check form**","0, Email not Sent | 1, Email Sent",,,,,,"[eah_errors4]='1' AND [eah_errors_cor4]='1' AND [eah_error_notes4]<>''",y,,,,,
eah_resolve,eah_intake_2_ab0a,,yesno,"For Lead RA or graduate student ONLY:

Have intake data issues been resolved?

**if yes, mark form status as complete**",,,,,,,[eah_errors_email]='1',y,,,,,
eah_form_complete,eah_intake_2_ab0a,,yesno,"All Qualtrics data was correct (no errors found).

Has form status been changed to ""complete""?",,,,,,,"[eah_errors]='0' OR [eah_errors2]='0' OR [eah_errors3]='0' OR [eah_errors4]='0'",y,,,,,
ff_meal,freddyfullness,,radio,"Freddy Fullness was used for:","0, Standard Meal and EAH | 1, Portion Size Meal",,,,,,,,,,,,
ff_visit,freddyfullness,,radio,"[ff_meal:checked] Completed at Visit:","0, Visit 1 | 1, Visit 2 | 2, Visit 3 | 3, Visit 4 | 4, Visit 5 | 5, Visit 7",,,,,,,y,,,,,
ff_exists,freddyfullness,,yesno,"Was Freddy Fullness completed at [ff_visit] for [ff_meal] ?",,,,,,,,,,,,,
ff_age,freddyfullness,,calc,"Age at [ff_visit:checked]","if([ff_visit] = '0', [baseline_arm_1][v1_age], if([ff_visit] = '1', [baseline_arm_1][v2_age], if([ff_visit] = '2', [baseline_arm_1][v3_age], if([ff_visit] = '3', [baseline_arm_1][v4_age], if([ff_visit] = '4', [baseline_arm_1][v5_age], if([ff_visit] = '5', [baseline_arm_1][v7_age], 'NaN'))))))",,,,,,[ff_exists]='1',,,,,,
ff_pre_measure,freddyfullness,"Freddy Fullness Measurement",yesno,"Pre-Meal Freddy Fullness: Child rating has been measured for [ff_visit:checked]",,,,,,,[ff_exists]='1',y,,,,,
ff_pre_eah_measure,freddyfullness,,yesno,"Pre-EAH Freddy Fullness: Child rating has been measured for [ff_visit:checked]",,,,,,,[ff_meal]='0',y,,,,,
ff_pre_total_measure,freddyfullness,,yesno,"Pre-Meal Freddy Fullness: Total Freddy size has been measured for [ff_visit:checked]",,,,,,,[ff_exists]='1',y,,,,,
ff_pre_eah_total_measure,freddyfullness,,yesno,"Pre-EAH Freddy Fullness: Total Freddy size has been measured for [ff_visit:checked]",,,,,,,[ff_meal]='0',y,,,,,
ff_post_measure,freddyfullness,,yesno,"Post-Meal Freddy Fullness: Child rating has been measured for [ff_visit:checked]",,,,,,,[ff_exists]='1',y,,,,,
ff_post_eah_measure,freddyfullness,,yesno,"Post-EAH Freddy Fullness: Child rating has been measured for [ff_visit:checked]",,,,,,,[ff_meal]='0',y,,,,,
ff_post_total_measure,freddyfullness,,yesno,"Post-Meal  Freddy Fullness: Total Freddy size has been measured for [ff_visit:checked]",,,,,,,[ff_exists]='1',y,,,,,
ff_post_eah_total_measure,freddyfullness,,yesno,"Post-EAH Freddy Fullness: Total Freddy size has been measured for [ff_visit:checked]",,,,,,,[ff_meal]='0',y,,,,,
ff_pre_enter,freddyfullness,"Freddy Fullness Data Entry",yesno,"Pre-Meal Freddy Fullness: Child rating has been entered for [ff_visit:checked]",,,,,,,[ff_exists]='1',y,,,,,
ff_pre_eah_enter,freddyfullness,,yesno,"Pre-EAH Freddy Fullness: Child rating has been entered for [ff_visit:checked]",,,,,,,[ff_meal]='0',y,,,,,
ff_pre_total_enter,freddyfullness,,yesno,"Pre-Meal Freddy Fullness: Total Freddy Size has been entered for [ff_visit:checked]",,,,,,,[ff_exists]='1',y,,,,,
ff_pre_eah_total_enter,freddyfullness,,yesno,"Pre-EAH Freddy Fullness: Total Freddy Size has been entered for [ff_visit:checked]",,,,,,,[ff_meal]='0',y,,,,,
ff_post_enter,freddyfullness,,yesno,"Post-Meal Freddy Fullness: Child rating has been entered for [ff_visit:checked]",,,,,,,[ff_exists]='1',y,,,,,
ff_post_eah_enter,freddyfullness,,yesno,"Post-EAH Freddy Fullness: Child rating has been entered for [ff_visit:checked]",,,,,,,[ff_meal]='0',y,,,,,
ff_post_total_enter,freddyfullness,,yesno,"Post-Meal Freddy Fullness: Total Freddy Size has been entered for [ff_visit:checked]",,,,,,,[ff_exists]='1',y,,,,,
ff_post_eah_total_enter,freddyfullness,,yesno,"Post-EAH Freddy Fullness: Total Freddy Size has been entered for [ff_visit:checked]",,,,,,,[ff_meal]='0',y,,,,,
ff_check_name,freddyfullness,"Data Checks",text,"Data Check 1

Freddy Fullness values checked by:",,,,,,,"[ff_pre_enter]='1' AND [ff_post_enter]='1' AND [ff_pre_total_enter]='1' AND [ff_post_total_enter]='1'",y,,,,,
ff_check_date,freddyfullness,,text,Date:,,,date_mdy,,,,[ff_check_name]<>'',y,,,,,
ff_measurement_errors,freddyfullness,,checkbox,"Re-measure all Freddy Fullness sheets for [ff_visit:checked] [ff_meal:checked]

Please mark which, if any, measurements had errors:

*ignore EAH if not checking Visits 1 or 7","0, Child Pre-Meal | 1, Child Post-Meal | 2, Total Size Pre-Meal | 3, Total Size Post-Meal | 4, Child Pre-EAH | 5, Child Post-EAH | 6, Total Size Pre-EAH | 7, Total Size Post-EAH",,,,,,[ff_check_name]<>'',y,,,,,
ff_measurement_cor,freddyfullness,,yesno,"Measurement errors were corrected on the paper sheets for: 
[ff_measurement_errors:checked] ",,,,,,,"sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) > 0",y,,,,,
ff_child_check,freddyfullness,,yesno,"Were there errors for child-rated [ff_meal:checked] Freddy Fullness values in the Visit [ff_visit:checked] Child Qualtrics Database?
",,,,,,,"[ff_check_name]<>'' AND sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) = 0",y,,,,,
ff_child_cor,freddyfullness,,yesno,"Child Freddy Fullness values corrected in Qulatrics Visit Database",,,,,,,"sum([ff_measurement_errors(0)], [ff_measurement_errors(1)],[ff_measurement_errors(4)], [ff_measurement_errors(5)]) > 0 OR [ff_child_check]='1'",y,,,,,
ff_totalbox_check,freddyfullness,,yesno,"Were there errors in the extra Freddy Fullness Qualtrics Database for total Freddy Fullness size values for [ff_visit:checked] [ff_meal:checked]?
",,,,,,,"[ff_check_name]<>'' AND sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) = 0",y,,,,,
ff_totalbox_cor,freddyfullness,,yesno,"Total Freddy Fullness box size values corrected in extra Freddy Fullness Qulatrics Database",,,,,,,"sum([ff_measurement_errors(2)], [ff_measurement_errors(3)],[ff_measurement_errors(6)], [ff_measurement_errors(7)]) > 0 OR [ff_totalbox_check]='1'",y,,,,,
ff_error_notes,freddyfullness,,notes,"Freddy Fullness Notes. Please list the values that were changed/updated.

**Once done, change status to incomplete so others know that these data need to be checked again**",,,,,,,"sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) > 0 OR [ff_child_check] = '1' OR [ff_totalbox_check] = '1'",y,,,,,
ff_unfinished_msg,freddyfullness,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"(sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) > 0 AND [ff_measurement_cor]='0') OR ([ff_child_check] = '1' AND [ff_child_cor] = '0') OR ([ff_totalbox_check] = '1' AND [ff_totalbox_cor]='0') OR ((sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) > 0 OR [ff_child_check] = '1' OR [ff_totalbox_check] = '1') AND [ff_error_notes]='')",,,,,,
ff_check_name2,freddyfullness,,text,"Data Check 2

Freddy Fullness values checked by:",,,,,,,"((sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) > 0 AND [ff_measurement_cor]='1') OR ([ff_child_check] = '1' AND [ff_child_cor] = '1') OR ([ff_totalbox_check] = '1' AND [ff_totalbox_cor]='1')) AND ((sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) > 0 OR [ff_child_check] = '1' OR [ff_totalbox_check] = '1') AND [ff_error_notes]<>'')",y,,,,,
ff_check_date2,freddyfullness,,text,Date:,,,date_mdy,,,,[ff_check_name2]<>'',y,,,,,
ff_measurement_errors2,freddyfullness,,checkbox,"Re-measure all Freddy Fullness sheets for [ff_visit:checked] [ff_meal:checked]

Please mark which, if any, measurements had errors:

*ignore EAH if not checking Visits 1 or 7","0, Child Pre-Meal | 1, Child Post-Meal | 2, Total Size Pre-Meal | 3, Total Size Post-Meal | 4, Child Pre-EAH | 5, Child Post-EAH | 6, Total Size Pre-EAH | 7, Total Size Post-EAH",,,,,,"[ff_check_name2]<>'' AND sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) > 0",y,,,,,
ff_measurement_cor2,freddyfullness,,yesno,"Measurement errors were corrected on the paper sheets for: 
[ff_measurement_errors2:checked] ",,,,,,,"sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) > 0",y,,,,,
ff_child_check2,freddyfullness,,yesno,"Were there errors for child-rated [ff_meal:checked] Freddy Fullness values in the Visit [ff_visit:checked] Child Qualtrics Database?",,,,,,,"([ff_check_name2]<>'' AND sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) = 0) OR ([ff_check_name2]<>'' AND sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) = 0)",y,,,,,
ff_child_cor2,freddyfullness,,yesno,"Child Freddy Fullness values corrected in Qulatrics Visit Database",,,,,,,"sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)],[ff_measurement_errors2(4)], [ff_measurement_errors2(5)]) > 0 OR [ff_child_check]='1' OR [ff_child_check2]='1'",y,,,,,
ff_totalbox_check2,freddyfullness,,yesno,"Were there errors in the extra Freddy Fullness Qualtrics Database for total Freddy Fullness size values for [ff_visit:checked] [ff_meal:checked]?",,,,,,,"([ff_check_name2]<>'' AND sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) = 0) OR ([ff_check_name2]<>'' AND sum([ff_measurement_errors(0)], [ff_measurement_errors(1)], [ff_measurement_errors(2)], [ff_measurement_errors(3)], [ff_measurement_errors(4)], [ff_measurement_errors(5)], [ff_measurement_errors(6)], [ff_measurement_errors(7)]) = 0)",y,,,,,
ff_totalbox_cor2,freddyfullness,,yesno,"Total Freddy Fullness box size values corrected in extra Freddy Fullness Qulatrics Database",,,,,,,"sum([ff_measurement_errors2(2)], [ff_measurement_errors2(3)],[ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) > 0 OR [ff_totalbox_check2]='1'",y,,,,,
ff_error_notes2,freddyfullness,,notes,"Freddy Fullness Notes. Please list the values that were changed/updated

**Once done, change status to incomplete so others know that these data need to be checked again**",,,,,,,"sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) > 0 OR [ff_child_check2] = '1' OR [ff_totalbox_check2] = '1'",y,,,,,
ff_unfinished_msg2,freddyfullness,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"(sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) > 0 AND [ff_measurement_cor2]='0') OR ([ff_child_check2] = '1' AND [ff_child_cor2] = '0') OR ([ff_totalbox_check2] = '1' AND [ff_totalbox_cor2]='0') OR ((sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) > 0 OR [ff_child_check2] = '1' OR [ff_totalbox_check2] = '1') AND [ff_error_notes2]='')",,,,,,
ff_check_name3,freddyfullness,,text,"Data Check 3

Freddy Fullness values checked by:",,,,,,,"((sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) > 0 AND [ff_measurement_cor2]='1') OR ([ff_child_check2] = '1' AND [ff_child_cor2] = '1') OR ([ff_totalbox_check2] = '1' AND [ff_totalbox_cor2]='1')) AND ((sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) > 0 OR [ff_child_check2] = '1' OR [ff_totalbox_check2] = '1') AND [ff_error_notes2]<>'')",y,,,,,
ff_check_date3,freddyfullness,,text,Date:,,,date_mdy,,,,[ff_check_name3]<>'',y,,,,,
ff_measurement_errors3,freddyfullness,,checkbox,"Re-measure all Freddy Fullness sheets for [ff_visit:checked] [ff_meal:checked]

Please mark which, if any, measurements had errors:

*ignore EAH if not checking Visits 1 or 7","0, Child Pre-Meal | 1, Child Post-Meal | 2, Total Size Pre-Meal | 3, Total Size Post-Meal | 4, Child Pre-EAH | 5, Child Post-EAH | 6, Total Size Pre-EAH | 7, Total Size Post-EAH",,,,,,"[ff_check_name3]<>'' AND sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) > 0",y,,,,,
ff_measurement_cor3,freddyfullness,,yesno,"Measurement errors were corrected on the paper sheets for: 
[ff_measurement_errors3:checked] ",,,,,,,"sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) > 0",y,,,,,
ff_child_check3,freddyfullness,,yesno,"Were there errors for child-rated [ff_meal:checked] Freddy Fullness values in the Visit [ff_visit:checked] Child Qualtrics Database?",,,,,,,"([ff_check_name3]<>'' AND sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) = 0) OR ([ff_check_name3]<>'' AND sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) = 0)",y,,,,,
ff_child_cor3,freddyfullness,,yesno,"Child Freddy Fullness values corrected in Qulatrics Visit Database",,,,,,,"sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)],[ff_measurement_errors3(4)], [ff_measurement_errors3(5)]) > 0 OR [ff_child_check3]='1'",y,,,,,
ff_totalbox_check3,freddyfullness,,yesno,"Were there errors in the extra Freddy Fullness Qualtrics Database for total Freddy Fullness size values for [ff_visit:checked] [ff_meal:checked]?
",,,,,,,"([ff_check_name3]<>'' AND sum([ff_measurement_errors2(0)], [ff_measurement_errors2(1)], [ff_measurement_errors2(2)], [ff_measurement_errors2(3)], [ff_measurement_errors2(4)], [ff_measurement_errors2(5)], [ff_measurement_errors2(6)], [ff_measurement_errors2(7)]) = 0) OR ([ff_check_name3]<>'' AND sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) = 0)",y,,,,,
ff_totalbox_cor3,freddyfullness,,yesno,"Total Freddy Fullness box size values corrected in extra Freddy Fullness Qulatrics Database",,,,,,,"sum([ff_measurement_errors3(2)], [ff_measurement_errors3(3)],[ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) > 0 OR [ff_totalbox_check3]='1'",y,,,,,
ff_error_notes3,freddyfullness,,notes,"Freddy Fullness Notes. Please list the values that were changed/updated

**Once done, change status to incomplete so others know that these data need to be checked again**",,,,,,,"sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) > 0 OR [ff_child_check3] = '1' OR [ff_totalbox_check3] = '1'",y,,,,,
ff_unfinished_msg3,freddyfullness,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"(sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) > 0 AND [ff_measurement_cor3]='0') OR ([ff_child_check3] = '1' AND [ff_child_cor3] = '0') OR ([ff_totalbox_check3] = '1' AND [ff_totalbox_cor3]='0') OR ((sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) > 0 OR [ff_child_check3] = '1' OR [ff_totalbox_check3] = '1') AND [ff_error_notes3]='')",,,,,,
ff_check_name4,freddyfullness,,text,"Data Check 4

Freddy Fullness values checked by:",,,,,,,"((sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) > 0 AND [ff_measurement_cor3]='1') OR ([ff_child_check3] = '1' AND [ff_child_cor3] = '1') OR ([ff_totalbox_check3] = '1' AND [ff_totalbox_cor3]='1')) AND ((sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) > 0 OR [ff_child_check3] = '1' OR [ff_totalbox_check3] = '1') AND [ff_error_notes3]<>'')",y,,,,,
ff_check_date4,freddyfullness,,text,Date:,,,date_mdy,,,,[ff_check_name4]<>'',y,,,,,
ff_measurement_errors4,freddyfullness,,checkbox,"Re-measure all Freddy Fullness sheets for [ff_visit:checked] [ff_meal:checked]

Please mark which, if any, measurements had errors:

*ignore EAH if not checking Visits 1 or 7","0, Child Pre-Meal | 1, Child Post-Meal | 2, Total Size Pre-Meal | 3, Total Size Post-Meal | 4, Child Pre-EAH | 5, Child Post-EAH | 6, Total Size Pre-EAH | 7, Total Size Post-EAH",,,,,,"[ff_check_name4]<>'' AND sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) > 0",y,,,,,
ff_measurement_cor4,freddyfullness,,yesno,"Measurement errors were corrected on the paper sheets for: 
[ff_measurement_errors4:checked] ",,,,,,,"sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) > 0",y,,,,,
ff_child_check4,freddyfullness,,yesno,"Were there errors for child-rated [ff_meal:checked] Freddy Fullness values in the Visit [ff_visit:checked] Child Qualtrics Database?",,,,,,,"([ff_check_name4]<>'' AND sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) = 0) OR ([ff_check_name4]<>'' AND sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) = 0)",y,,,,,
ff_child_cor4,freddyfullness,,yesno,"Child Freddy Fullness values corrected in Qulatrics Visit Database",,,,,,,"sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)],[ff_measurement_errors4(4)], [ff_measurement_errors4(5)]) > 0 OR [ff_child_check4]='1'",y,,,,,
ff_totalbox_check4,freddyfullness,,yesno,"Were there errors in the extra Freddy Fullness Qualtrics Database for total Freddy Fullness size values for [ff_visit:checked] [ff_meal:checked]?
",,,,,,,"([ff_check_name4]<>'' AND sum([ff_measurement_errors4(0)], [ff_measurement_errors4(1)], [ff_measurement_errors4(2)], [ff_measurement_errors4(3)], [ff_measurement_errors4(4)], [ff_measurement_errors4(5)], [ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) = 0) OR ([ff_check_name4]<>'' AND sum([ff_measurement_errors3(0)], [ff_measurement_errors3(1)], [ff_measurement_errors3(2)], [ff_measurement_errors3(3)], [ff_measurement_errors3(4)], [ff_measurement_errors3(5)], [ff_measurement_errors3(6)], [ff_measurement_errors3(7)]) = 0)",y,,,,,
ff_totalbox_cor4,freddyfullness,,yesno,"Total Freddy Fullness box size values corrected in extra Freddy Fullness Qulatrics Database",,,,,,,"sum([ff_measurement_errors4(2)], [ff_measurement_errors4(3)],[ff_measurement_errors4(6)], [ff_measurement_errors4(7)]) > 0 OR [ff_totalbox_check4]='1'",y,,,,,
